POPID,RECOVERYDOMAIN,ESU_DPS,MAJORPOPGROUP,POPULATIONNAME,ESAPOPNAME,NMFS_POPID,NMFS_POPULATION,NMFS_POPCODE,NMFS_SPECIES,NMFS_COMMON_SPECIES,NMFS_RUN,POPSTATUS,NMFS_TYPE,LISTING_STATUS,DEFINEDBY,BPA_PRIORITY,SPECIES,RUN,FCRPS_SECTION,FCRPS_SECTIONTITLE,INCAX,RTID,CONTACTAGENCY,RECORDNOTE,DATASETVERSION,UPDDATE,SNLOADDATE,LASTUPDATED,LASTMODIFIEDON
34,Interior Columbia,"Salmon, Chinook (Snake River spring/summer-run ESU)",Upper Salmon,Salmon River Lower Mainstem - spring/summer Chinook salmon,"Salmon, Chinook (Snake River spring/summer-run ESU) Salmon River Lower Mainstem - spring/summer",88,Salmon River Lower Mainstem,CKSRSssSLM,Oncorhynchus tshawytscha,Chinook,spring/summer,Extant,Independent,Threatened,NMFS,2,Chinook salmon,Spring/summer,8.03        ,8.3 Snake River Spring/Summer Chinook Salmon,1,30119060438,,,2020/08/11 10:00,2015/04/20 04:20:00,,,2019/02/07 01:29:00
35,Interior Columbia,"Salmon, Chinook (Snake River spring/summer-run ESU)",Upper Salmon,Salmon River Upper Mainstem - spring Chinook salmon,"Salmon, Chinook (Snake River spring/summer-run ESU) Salmon River Upper Mainstem - spring",89,Salmon River Upper Mainstem,CKSRSspSUM,Oncorhynchus tshawytscha,Chinook,spring,Extant,Independent,Threatened,NMFS,2,Chinook salmon,Spring,8.03        ,8.3 Snake River Spring/Summer Chinook Salmon,1,30119060443,,Run Changed 20150420,2020/08/11 10:00,2015/04/20 04:20:00,,,2019/02/07 01:29:00
36,Interior Columbia,"Salmon, Chinook (Snake River spring/summer-run ESU)",Upper Salmon,Valley Creek - spring/summer Chinook salmon,"Salmon, Chinook (Snake River spring/summer-run ESU) Valley Creek - spring/summer",97,Valley Creek,CKSRSssVAL,Oncorhynchus tshawytscha,Chinook,spring/summer,Extant,Independent,Threatened,NMFS,2,Chinook salmon,Spring/summer,8.03        ,8.3 Snake River Spring/Summer Chinook Salmon,1,30119060442,,Run Changed 20150420,2020/08/11 10:00,2015/04/20 04:20:00,,,2019/02/07 01:29:00
37,Interior Columbia,"Salmon, Chinook (Snake River spring/summer-run ESU)",Upper Salmon,Yankee Fork - spring Chinook salmon,"Salmon, Chinook (Snake River spring/summer-run ESU) Yankee Fork - spring",99,Yankee Fork,CKSRSspYNK,Oncorhynchus tshawytscha,Chinook,spring,Extant,Independent,Threatened,NMFS,1,Chinook salmon,Spring,8.03        ,8.3 Snake River Spring/Summer Chinook Salmon,1,30119060441,,,2020/08/11 10:00,2015/04/20 04:20:00,,,2019/02/07 01:29:00
38,Interior Columbia,,Wet Clearwater,Lochsa River - Chinook salmon,,,,,,,,Reintroduced,,Not listed,IDFG,3,Chinook salmon,Spring/summer,,,1,,IDFG,"Reintroduced, nonlisted population.  Run changed 4/12/2019.
",2020/08/11 10:00,2019/04/12 03:00:00,,,2019/04/12 03:13:00
39,Interior Columbia,,Wet Clearwater,Lolo Creek - Chinook salmon,,,,,,,,Reintroduced,,Not listed,IDFG,3,Chinook salmon,Spring/summer,8.03        ,8.3 Snake River Spring/Summer Chinook Salmon,1,,IDFG,"Reintroduced, nonlisted population.  Run changed 4/12/2019.
",2020/08/11 10:00,2019/04/12 03:00:00,,,2019/04/12 03:13:00
41,Interior Columbia,,Wet Clearwater,Meadow Creek - Chinook salmon,,,,,,,,Reintroduced,,Not listed,IDFG,3,Chinook salmon,Spring/summer,,,1,,IDFG,"Reintroduced, nonlisted population.  Run changed 4/12/2019.
",2020/08/11 10:00,2019/04/12 03:00:00,,,2019/04/12 03:13:00
42,Interior Columbia,,Wet Clearwater,Moose Creek - Chinook salmon,,,,,,,,Reintroduced,,Not listed,IDFG,3,Chinook salmon,Spring/summer,,,1,,IDFG,"Reintroduced, nonlisted population.  Run changed 4/12/2019.
",2020/08/11 10:00,2019/04/12 03:00:00,,,2019/04/12 03:13:00
44,Interior Columbia,,Wet Clearwater,Selway River Upper Mainstem - Chinook salmon,,,,,,,,Reintroduced,,Not listed,IDFG,3,Chinook salmon,Spring/summer,,,1,,IDFG,"Reintroduced, nonlisted population.  Run changed 4/12/2019.
",2020/08/11 10:00,2019/04/12 03:00:00,,,2019/04/12 03:13:00
45,Interior Columbia,"Salmon, Chinook (Upper Columbia River spring-run ESU)",North Cascades,Entiat River - spring Chinook salmon,"Salmon, Chinook (Upper Columbia River spring-run ESU) Entiat River - spring",100,Entiat River,CKUCSspENT,Oncorhynchus tshawytscha,Chinook,spring,Extant,Independent,Endangered,NMFS,1,Chinook salmon,Spring,8.06        ,8.6 Upper Columbia River Spring Chinook Salmon,1,30120040203,,MPG Name changed 20151203 by Monica Diaz,2020/08/11 10:00,2015/04/20 04:20:00,,,2019/02/07 01:58:00
46,Interior Columbia,"Salmon, Chinook (Upper Columbia River spring-run ESU)",North Cascades,Methow River - spring Chinook salmon,"Salmon, Chinook (Upper Columbia River spring-run ESU) Methow River - spring",101,Methow River,CKUCSspMET,Oncorhynchus tshawytscha,Chinook,spring,Extant,Independent,Endangered,NMFS,1,Chinook salmon,Spring,8.06        ,8.6 Upper Columbia River Spring Chinook Salmon,1,30120040204,,MPG Name changed 20151203 by Monica Diaz,2020/08/11 10:00,2015/04/20 04:20:00,,,2019/02/07 01:58:00
