"esa_pop_name","species","run","name","stock","origin","release_location"
"Salmon, chum (Columbia River ESU) Grays and Chinook Rivers - fall","chum","fall","BEAVER CR HATCHERY","Grays River","Mixed Hatchery/Wild Origin","GRAYS R      25.0093"
"Salmon, Chinook (Lower Columbia River ESU) Washougal River - fall","chinook","fall","WASHOUGAL HATCHERY","Washougal River","Mixed Hatchery/Wild Origin","WASHOUGAL R  28.0159"
"Salmon, Chinook (Lower Columbia River ESU) Washougal River - fall","chinook","fall","WASHOUGAL HATCHERY","Washougal River","Hatchery Origin","WASHOUGAL R  28.0159"
"Salmon, Chinook (Lower Columbia River ESU) Washougal River - fall","chinook","fall","WASHOUGAL HATCHERY","Washougal River Hatchery Stock","Mixed Hatchery/Wild Origin","WASHOUGAL R  28.0159"
"Salmon, Chinook (Lower Columbia River ESU) Lower Cowlitz River - fall","chinook","fall","COWLITZ SALMON HATCHERY","Cowlitz River","Mixed Hatchery/Wild Origin","COWLITZ R    26.0002"
"Salmon, Chinook (Lower Columbia River ESU) Lower Cowlitz River - fall","chinook","fall","COWLITZ SALMON HATCHERY","Cowlitz River","Hatchery Origin","COWLITZ R    26.0002"
"Salmon, Chinook (Lower Columbia River ESU) Lower Cowlitz River - fall","chinook","fall","COWLITZ SALMON HATCHERY","Cowlitz River Hatchery Stock","Hatchery Origin","COWLITZ R    26.0002"
"Salmon, Chinook (Lower Columbia River ESU) Kalama River - fall","chinook","fall","FALLERT CR HATCHERY","Kalama River","Mixed Hatchery/Wild Origin","FALLERT CR   27.0017"
"Salmon, Chinook (Lower Columbia River ESU) Kalama River - fall","chinook","fall","KALAMA FALLS HATCHERY","Kalama River","Mixed Hatchery/Wild Origin","KALAMA R     27.0002"
"Salmon, Chinook (Lower Columbia River ESU) Kalama River - fall","chinook","fall","FALLERT CR HATCHERY","Kalama Hatchery Stock","Hatchery Origin","FALLERT CR   27.0017"
"Salmon, Chinook (Lower Columbia River ESU) Kalama River - fall","chinook","fall","KALAMA FALLS HATCHERY","Kalama Hatchery Stock","Hatchery Origin","KALAMA R     27.0002"
"Salmon, Chinook (Lower Columbia River ESU) North Fork Lewis River - spring","chinook","spring","LEWIS RIVER HATCHERY","Lewis River","Hatchery Origin","LEWIS R -NF  27.0168"
"Salmon, Chinook (Lower Columbia River ESU) North Fork Lewis River - spring","chinook","spring","SPEELYAI HATCHERY","Lewis River","Hatchery Origin","LEWIS R -NF  27.0168"
"Salmon, Chinook (Lower Columbia River ESU) North Fork Lewis River - spring","chinook","spring","SPEELYAI HATCHERY","Lewis River","Mixed Hatchery/Wild Origin","LEWIS R -NF  27.0168"
"Salmon, Chinook (Lower Columbia River ESU) North Fork Lewis River - spring","chinook","spring","SPEELYAI HATCHERY","Lewis River","Mixed Hatchery/Wild Origin","LEWIS R      27.0168"
"Salmon, Chinook (Lower Columbia River ESU) North Fork Lewis River - spring","chinook","spring","LEWIS RIVER HATCHERY","Lewis River Hatchery Stock","Hatchery Origin","LEWIS R      27.0168"
"Salmon, Chinook (Lower Columbia River ESU) North Fork Lewis River - spring","chinook","spring","LEWIS RIVER HATCHERY","Lewis River Hatchery Stock","Hatchery Origin","LEWIS R -NF  27.0168"
"Salmon, Chinook (Lower Columbia River ESU) North Fork Lewis River - spring","chinook","spring","SPEELYAI HATCHERY","Lewis River Hatchery Stock","Hatchery Origin","LEWIS R      27.0168"
"Salmon, Chinook (Lower Columbia River ESU) North Fork Lewis River - spring","chinook","spring","SPEELYAI HATCHERY","Lewis River Hatchery Stock","Hatchery Origin","LEWIS R -NF  27.0168"
"Salmon, Chinook (Lower Columbia River ESU) Kalama River - spring","chinook","spring","FALLERT CR HATCHERY","Kalama River","Hatchery Origin","FALLERT CR   27.0017"
"Salmon, Chinook (Lower Columbia River ESU) Kalama River - spring","chinook","spring","GOBAR POND      (27)","Kalama River","Hatchery Origin","GOBAR CR     27.0073"
"Salmon, Chinook (Lower Columbia River ESU) Kalama River - spring","chinook","spring","FALLERT CR HATCHERY","Kalama Hatchery Stock","Hatchery Origin","FALLERT CR   27.0017"
"Salmon, Chinook (Lower Columbia River ESU) Toutle River - fall","chinook","fall","NORTH TOUTLE HATCHERY","Toutle River","Mixed Hatchery/Wild Origin","GREEN R      26.0323"
"Salmon, Chinook (Lower Columbia River ESU) Grays and Chinook Rivers - fall","chinook","fall","DEEP R NET PENS","Washougal River","Mixed Hatchery/Wild Origin","DEEP R       25.0071"
"Salmon, Chinook (Lower Columbia River ESU) Grays and Chinook Rivers - fall","chinook","fall","DEEP R NET PENS","Washougal River","Hatchery Origin","DEEP R       25.0071"
"Salmon, Chinook (Lower Columbia River ESU) Grays and Chinook Rivers - fall","chinook","fall","DEEP R NET PENS","Kalama River","Mixed Hatchery/Wild Origin","DEEP R       25.0071"
"Salmon, Chinook (Lower Columbia River ESU) Grays and Chinook Rivers - fall","chinook","fall","DEEP R NET PENS","Elochoman River","Hatchery Origin","DEEP R       25.0071"
"Salmon, Chinook (Lower Columbia River ESU) Grays and Chinook Rivers - fall","chinook","fall","DEEP R NET PENS","Washougal River Hatchery Stock","Hatchery Origin","DEEP R       25.0071"
"Salmon, Chinook (Lower Columbia River ESU) Upper Cowlitz River - spring","chinook","spring","COWLITZ SALMON HATCHERY","Cowlitz River","Hatchery Origin","Upper Cowlitz River"
"Salmon, Chinook (Lower Columbia River ESU) Upper Cowlitz River - spring","chinook","spring","DEEP R NET PENS","Cowlitz River","Hatchery Origin","Upper Cowlitz River"
"Salmon, Chinook (Lower Columbia River ESU) Upper Cowlitz River - spring","chinook","spring","FALLERT CR HATCHERY","Cowlitz River","Hatchery Origin","Upper Cowlitz River"
"Salmon, Chinook (Lower Columbia River ESU) Upper Cowlitz River - spring","chinook","spring","COWLITZ SALMON HATCHERY","Cowlitz River Hatchery Stock","Hatchery Origin","Upper Cowlitz River"
"Salmon, Chinook (Lower Columbia River ESU) Upper Cowlitz River - spring","chinook","spring","DEEP R NET PENS","Cowlitz River Hatchery Stock","Hatchery Origin","Upper Cowlitz River"
"Steelhead (Lower Columbia River DPS) Lower Cowlitz River - winter","steelhead","winter","COWLITZ TROUT HATCHERY","Cowlitz River","Hatchery Origin","BLUE CR      26.0527"
"Steelhead (Lower Columbia River DPS) Lower Cowlitz River - winter","steelhead","winter","COWLITZ TROUT HATCHERY","Cowlitz River","Hatchery Origin","COWLITZ R    26.0002"
"Steelhead (Lower Columbia River DPS) Lower Cowlitz River - winter","steelhead","winter","COWLITZ TROUT HATCHERY","Cowlitz River","Wild Origin","BLUE CR      26.0527"
"Steelhead (Lower Columbia River DPS) Lower Cowlitz River - winter","steelhead","winter","COWLITZ TROUT HATCHERY","Lower Cowlitz River","Mixed Hatchery/Wild Origin","BLUE CR      26.0527"
"Steelhead (Lower Columbia River DPS) Lower Cowlitz River - winter","steelhead","winter","COWLITZ TROUT HATCHERY","Lower Cowlitz River","Mixed Hatchery/Wild Origin","COWLITZ R    26.0002"
