"brood_code","Brood_Year","species_description","run_description","stock_description","Origin_desc","quasi_noaa_name","Wild","Hatchery","nosa_esa_pop_name","stock_id","comments","sasi_stock_num","POPFIT","BESTVALUE","nosaij","nosaej","phosij","phosej","tsaij","tsaej","pHOS","pNOS","pNOB","pHOB","pNI"
"CO:SO:LEHA:2022:H",2022,"coho","fall","Lewis River Hatchery Stock","Hatchery Origin","Lewis River Hatchery Stock fall coho",0,1048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA
"CO:SO:LEHA:2023:H",2023,"coho","fall","Lewis River Hatchery Stock","Hatchery Origin","Lewis River Hatchery Stock fall coho",0,977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA
"CO:SO:LEWI:2010:H",2010,"coho","fall","Lewis River","Hatchery Origin","Lewis River fall coho",0,1045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA
"CO:SO:LEWI:2011:H",2011,"coho","fall","Lewis River","Hatchery Origin","Lewis River fall coho",0,1288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA
"CO:SO:LEWI:2012:H",2012,"coho","fall","Lewis River","Hatchery Origin","Lewis River fall coho",0,448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA
"CO:SO:LEWI:2013:H",2013,"coho","fall","Lewis River","Hatchery Origin","Lewis River fall coho",0,1264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA
"CO:SO:LEWI:2014:H",2014,"coho","fall","Lewis River","Hatchery Origin","Lewis River fall coho",0,1363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA
"CO:SO:LEWI:2015:H",2015,"coho","fall","Lewis River","Hatchery Origin","Lewis River fall coho",0,1725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA
"CO:SO:TOUT:2010:H",2010,"coho","fall","Toutle River","Hatchery Origin","Toutle River fall coho",0,370,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA
"CO:SO:TOUT:2010:M",2010,"coho","fall","Toutle River","Mixed Hatchery/Wild Origin","Toutle River fall coho",52,52,"Salmon, coho (Lower Columbia River ESU) North Fork Toutle River - early and late","DB8AF0AD-BAE9-480B-8A2F-643BF842E6B1",NA,"3793","Same","Yes",NA,1737,NA,0.56,NA,3971,0.56,0.44,0.5,0.5,0.471698113207547
"CO:SO:TOUT:2011:H",2011,"coho","fall","Toutle River","Hatchery Origin","Toutle River fall coho",0,408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA
"CO:SO:TOUT:2011:M",2011,"coho","fall","Toutle River","Mixed Hatchery/Wild Origin","Toutle River fall coho",132,0,"Salmon, coho (Lower Columbia River ESU) North Fork Toutle River - early and late","DB8AF0AD-BAE9-480B-8A2F-643BF842E6B1",NA,"3793","Same","Yes",NA,997,NA,0.229,NA,1324,0.229,0.771,1,0,0.81366965012205
"CO:SO:TOUT:2012:H",2012,"coho","fall","Toutle River","Hatchery Origin","Toutle River fall coho",0,710,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA
"CO:SO:TOUT:2012:W",2012,"coho","fall","Toutle River","Wild Origin","Toutle River fall coho",142,0,"Salmon, coho (Lower Columbia River ESU) North Fork Toutle River - early and late","DB8AF0AD-BAE9-480B-8A2F-643BF842E6B1",NA,"3793","Same","Yes",NA,1478,NA,0.201,NA,1863,0.201,0.799,1,0,0.832639467110741
"CO:SO:TOUT:2013:H",2013,"coho","fall","Toutle River","Hatchery Origin","Toutle River fall coho",0,551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA
